Date,Price,Open,High,Low,Vol.,Change %
"Nov 20, 2009",27.83,28.5,28.5,27.77,5.40K,-2.52%
"Nov 19, 2009",28.55,28.93,28.93,28.47,8.80K,-0.97%
"Nov 18, 2009",28.83,28.97,29.15,28.72,2.96K,-0.79%
"Nov 17, 2009",29.06,29.02,29.22,28.65,7.07K,-0.14%
"Nov 16, 2009",29.1,29.06,29.48,29,6.16K,1.39%
"Nov 13, 2009",28.7,28.55,29.1,28.01,19.59K,-1.71%
"Nov 12, 2009",29.2,30.05,30.23,29.12,24.51K,-7.12%
"Nov 11, 2009",31.44,31.65,31.65,30.85,128.96K,1.85%
"Nov 10, 2009",30.87,31.35,31.35,30.36,13.21K,-7.13%
"Nov 09, 2009",33.24,33,33.74,33,4.28K,1.65%
"Nov 06, 2009",32.7,32.31,32.71,32.07,8.15K,2.67%
"Nov 05, 2009",31.85,32.34,32.34,31.84,2.37K,0.76%
"Nov 04, 2009",31.61,31.55,32.15,31.3,3.16K,1.05%
"Nov 03, 2009",31.28,31.95,31.95,31.2,8.04K,-4.05%
"Nov 02, 2009",32.6,32.65,32.83,31.56,5.09K,-0.67%
"Oct 30, 2009",32.82,33.09,33.09,32.4,4.83K,-1.41%
"Oct 29, 2009",33.29,32.7,33.8,32.7,7.72K,1.65%
"Oct 28, 2009",32.75,33.32,33.55,32.15,6.44K,0.18%
"Oct 27, 2009",32.69,34.4,34.4,32.68,7.34K,-3.68%
"Oct 26, 2009",33.94,35.3,35.33,33.57,7.32K,-2.36%
"Oct 23, 2009",34.76,34.7,35.1,34.46,4.38K,-0.69%
"Oct 22, 2009",35,35,35.69,34.65,6.09K,0.26%
"Oct 21, 2009",34.91,35,35.77,34.86,7.12K,-0.96%
"Oct 20, 2009",35.25,36.23,36.23,35.14,5.76K,-2.25%
"Oct 19, 2009",36.06,36,36.41,35.62,7.32K,3.62%
"Oct 16, 2009",34.8,35.38,35.38,34.75,6.42K,-2.55%
"Oct 15, 2009",35.71,35.47,35.71,35.26,4.49K,3.78%
"Oct 14, 2009",34.41,35.03,35.99,34.41,14.18K,0.32%
"Oct 13, 2009",34.3,35.75,35.75,34,8.56K,0.32%
"Oct 12, 2009",34.19,34.19,34.55,34.13,8.07K,3.29%
"Oct 09, 2009",33.1,33.45,33.46,33.1,17.40K,-1.93%
"Oct 08, 2009",33.75,33.9,34,33.25,14.27K,1.63%
"Oct 07, 2009",33.21,33.91,33.91,33.11,2.31K,-2.47%
"Oct 06, 2009",34.05,33.8,34.35,33.66,8.30K,0.32%
"Oct 05, 2009",33.94,33.35,33.94,32.98,4.44K,4.91%
"Oct 02, 2009",32.35,31.8,32.4,31.8,8.37K,1.86%
"Oct 01, 2009",31.76,33.06,33.06,31.76,4.12K,-4.42%
"Sep 30, 2009",33.23,33.4,33.78,32.92,12.25K,-0.84%
"Sep 29, 2009",33.51,33.5,33.79,33.24,7.01K,0.93%
"Sep 28, 2009",33.2,32.5,33.4,32.5,5.56K,3.78%
"Sep 25, 2009",31.99,32.3,32.31,31.55,20.84K,-1.39%
"Sep 24, 2009",32.44,33.31,33.31,32.04,4.48K,0.59%
"Sep 23, 2009",32.25,33.1,33.29,32.04,49.64K,-3.36%
"Sep 22, 2009",33.37,32.3,33.39,32.3,14.89K,2.08%
"Sep 21, 2009",32.69,32.3,32.7,31.93,7.76K,-2.56%
"Sep 18, 2009",33.55,34.07,34.15,33.4,33.59K,-5.76%
"Sep 17, 2009",35.6,35.8,36.1,35.01,6.88K,-2.20%
"Sep 16, 2009",36.4,35.89,36.42,35.28,14.77K,0.89%
"Sep 15, 2009",36.08,35.9,36.08,35.42,11.03K,-1.42%
"Sep 14, 2009",36.6,36.65,37.2,36.5,13.16K,-1.74%
"Sep 11, 2009",37.25,37.04,37.94,37.04,9.22K,3.04%
"Sep 10, 2009",36.15,35.57,36.15,35.16,2.14K,2.41%
"Sep 09, 2009",35.3,35.5,35.5,34.74,3.44K,-0.28%
"Sep 08, 2009",35.4,35.69,35.69,34.85,8.39K,1.43%
"Sep 04, 2009",34.9,35.05,35.05,34,16.47K,-1.27%
"Sep 03, 2009",35.35,35.2,35.75,34.6,6.98K,-3.44%
"Sep 02, 2009",36.61,35.75,36.63,35.53,5.40K,4.01%
"Sep 01, 2009",35.2,37.05,37.05,35.15,28.98K,-9.51%
"Aug 31, 2009",38.9,39.21,39.21,38.7,5.42K,0.13%
"Aug 28, 2009",38.85,39.55,39.65,38.7,5.65K,-4.07%
"Aug 27, 2009",40.5,39.9,40.55,39.6,19.58K,1.48%
"Aug 26, 2009",39.91,40.2,40.26,39.67,18.88K,-3.48%
"Aug 25, 2009",41.35,41,41.47,40.29,42.47K,-2.57%
"Aug 24, 2009",42.44,42.95,42.95,42,19.07K,-3.98%
"Aug 21, 2009",44.2,43.3,45,43,44.99K,7.80%
"Aug 20, 2009",41,40.6,42.33,40.02,36.76K,-1.23%
"Aug 19, 2009",41.51,41.4,42.6,38,25.02K,-13.61%
"Aug 18, 2009",48.05,47.5,48.51,47,9.24K,-1.54%
"Aug 17, 2009",48.8,50.45,50.45,48.55,39.25K,-11.35%
"Aug 14, 2009",55.05,59.75,59.75,47.1,77.94K,-15.37%
"Aug 13, 2009",65.05,64.73,65.05,64.5,5.24K,1.56%
"Aug 12, 2009",64.05,63.31,64.9,63.31,7.70K,0.34%
"Aug 11, 2009",63.83,64.35,64.8,63.71,3.77K,-3.86%
"Aug 10, 2009",66.39,67.45,67.45,65.9,9.60K,-7.78%
"Aug 07, 2009",71.99,70.56,72,70.56,2.13K,5.09%
"Aug 06, 2009",68.5,67.75,69.55,66.77,35.86K,0.09%
"Aug 05, 2009",68.44,70.71,70.71,67.05,12.80K,-4.94%
"Aug 04, 2009",72,73.02,73.18,72,11.59K,-2.37%
"Aug 03, 2009",73.75,73.29,73.79,73.03,1.66K,1.67%
"Jul 31, 2009",72.54,72.85,73.2,71.64,2.02K,0.40%
"Jul 30, 2009",72.25,71.3,72.25,71.04,8.12K,5.63%
"Jul 29, 2009",68.4,72.35,72.75,66.8,5.27K,-5.34%
"Jul 28, 2009",72.26,74.1,74.1,71.85,2.19K,0.36%
"Jul 27, 2009",72,73.3,73.55,71.96,4.35K,-4.00%
"Jul 24, 2009",75,72.9,75,72.9,2.35K,4.07%
"Jul 23, 2009",72.07,70.55,72.89,70.55,5.83K,0.18%
"Jul 22, 2009",71.94,70.85,72.09,70.6,1.09K,2.58%
"Jul 21, 2009",70.13,71.65,71.65,69,5.16K,4.97%
"Jul 20, 2009",66.81,65.82,67.5,65.38,2.06K,-5.17%
"Jul 17, 2009",70.45,72.5,72.5,70.16,4.38K,-1.83%
"Jul 16, 2009",71.76,71.61,72.55,71.1,2.20K,0.24%
"Jul 15, 2009",71.59,69.05,71.59,68.48,9.10K,10.39%
"Jul 14, 2009",64.85,63.35,64.85,63.05,5.59K,5.88%
"Jul 13, 2009",61.25,60.17,62.25,60.17,3.50K,2.12%
"Jul 10, 2009",59.98,60.6,60.6,58.9,1.18K,-1.67%
"Jul 09, 2009",61,60.33,61.33,60.15,4.02K,1.41%
"Jul 08, 2009",60.15,60.02,60.33,59.36,6.47K,-0.82%
"Jul 07, 2009",60.65,62.98,63.07,60.65,3.63K,-4.25%
"Jul 06, 2009",63.34,63.21,63.86,62.82,3.99K,-1.34%
"Jul 02, 2009",64.2,65.65,65.65,63.9,4.15K,-8.22%
"Jul 01, 2009",69.95,69.19,70.55,69.19,2.77K,2.42%
"Jun 30, 2009",68.3,69.31,69.42,67.46,5.80K,-3.46%
"Jun 29, 2009",70.75,67.79,70.8,67.73,3.73K,0.91%
"Jun 26, 2009",70.11,70.22,70.45,69.96,7.05K,2.13%
"Jun 25, 2009",68.65,66.43,68.7,66.3,4.52K,1.03%
"Jun 24, 2009",67.95,65.65,70,65.65,21.55K,6.86%
"Jun 23, 2009",63.59,62.17,63.59,62.15,5.40K,3.30%
"Jun 22, 2009",61.56,60.55,62.24,60.11,9.58K,-2.27%
"Jun 19, 2009",62.99,61.8,62.99,61.8,2.36K,-1.72%
"Jun 18, 2009",64.09,64.85,64.94,64.09,1.02K,-2.89%
"Jun 17, 2009",66,65.47,66.44,64.4,6.85K,2.17%
"Jun 16, 2009",64.6,64.74,64.9,63.78,2.22K,-1.79%
"Jun 15, 2009",65.78,67.86,67.86,65.15,1.55K,-4.78%
"Jun 12, 2009",69.08,69.31,70.19,68.73,1.16K,-4.28%
"Jun 11, 2009",72.17,70.95,72.3,70.95,2.06K,2.15%
"Jun 10, 2009",70.65,72.9,72.9,70.12,7.73K,-1.19%
"Jun 09, 2009",71.5,70.66,72.14,70.5,1.60K,3.61%
"Jun 08, 2009",69.01,69.45,69.84,67.96,7.16K,3.00%
"Jun 05, 2009",67,70.63,70.63,66.87,5.81K,-4.08%
"Jun 04, 2009",69.85,69.5,70.5,69.5,13.79K,3.48%
"Jun 03, 2009",67.5,72.27,72.27,66.59,13.41K,-6.77%
"Jun 02, 2009",72.4,72.95,73.37,71.26,8.85K,12.23%
"Jun 01, 2009",64.51,63.61,65.2,63.3,7.24K,8.33%
"May 29, 2009",59.55,59.31,60.3,59.11,7.02K,0.42%
"May 28, 2009",59.3,58.21,59.3,58.21,3.72K,0.51%
"May 27, 2009",59,60.69,60.69,58.85,1.81K,-4.85%
"May 26, 2009",62.01,60.44,62.35,60.06,5.06K,-0.03%
"May 22, 2009",62.03,62.74,63.5,62.03,13.38K,0.44%
"May 21, 2009",61.76,61.15,61.76,61.04,0.99K,3.11%
"May 20, 2009",59.9,60.2,60.99,59.9,1.62K,-0.94%
"May 19, 2009",60.47,60.4,60.6,60.22,1.05K,-0.46%
"May 18, 2009",60.75,58.5,60.85,58.11,2.00K,2.02%
"May 15, 2009",59.55,59.9,59.95,58.79,3.47K,-1.34%
"May 14, 2009",60.36,59.85,61.15,59.45,2.80K,-1.32%
"May 13, 2009",61.17,60.88,61.19,60.5,2.60K,-2.35%
"May 12, 2009",62.64,61.6,62.64,61.6,0.51K,-0.40%
"May 11, 2009",62.89,63,63,62.25,3.75K,-1.50%
"May 08, 2009",63.85,63.08,64,61.95,8.46K,3.15%
"May 07, 2009",61.9,62.32,62.32,61.01,13.83K,0.95%
"May 06, 2009",61.32,63.05,63.05,61,32.02K,-1.89%
"May 05, 2009",62.5,62.74,63.1,62,2.54K,-0.79%
"May 04, 2009",63,62.12,63.62,61.87,6.26K,-1.02%
"May 01, 2009",63.65,63.75,63.75,62.45,0.84K,0.27%
"Apr 30, 2009",63.48,64.36,65.33,62.25,2.40K,-1.81%
"Apr 29, 2009",64.65,62.2,64.85,62.2,2.03K,-0.23%
"Apr 28, 2009",64.8,62.43,64.8,62.43,4.24K,1.25%
"Apr 27, 2009",64,61.4,64,61.06,2.41K,1.17%
"Apr 24, 2009",63.26,62.2,63.26,62.12,2.84K,0.41%
"Apr 23, 2009",63,59.73,63,59.69,2.50K,1.58%
"Apr 22, 2009",62.02,60.55,62.4,59.78,6.45K,1.67%
"Apr 21, 2009",61,60.44,61.9,59.65,15.16K,0.33%
"Apr 20, 2009",60.8,62.43,62.43,60.75,1.91K,-5.66%
"Apr 17, 2009",64.45,63.09,65,62.75,5.42K,2.33%
"Apr 16, 2009",62.98,62.95,62.98,62.29,1.64K,-2.88%
"Apr 15, 2009",64.85,63.75,64.85,62.78,1.64K,-0.46%
"Apr 14, 2009",65.15,65.66,66.05,64.78,1.12K,1.88%
"Apr 13, 2009",63.95,62.75,63.95,62.75,1.30K,2.81%
"Apr 09, 2009",62.2,61.95,62.4,61.8,0.72K,-0.26%
"Apr 08, 2009",62.36,61.99,63.03,61.99,0.90K,-0.06%
"Apr 07, 2009",62.4,62.95,63.54,62.4,3.41K,-1.83%
"Apr 06, 2009",63.56,62.64,64.1,62.64,16.23K,-0.61%
"Apr 03, 2009",63.95,64.04,64.51,63.45,22.53K,-1.01%
"Apr 02, 2009",64.6,62.39,65.85,62.39,20.56K,3.61%
"Apr 01, 2009",62.35,60.01,62.45,60.01,17.10K,1.55%
"Mar 31, 2009",61.4,60.29,61.4,59.98,36.23K,-1.29%
"Mar 30, 2009",62.2,61.95,62.4,61.95,2.08K,-6.04%
"Mar 27, 2009",66.2,66.06,66.57,65.55,0.96K,-3.78%
"Mar 26, 2009",68.8,70.84,71.11,68.8,7.30K,9.03%
"Mar 25, 2009",63.1,61.83,65.12,61.83,9.88K,7.31%
"Mar 24, 2009",58.8,58.25,58.85,58.15,5.27K,1.20%
"Mar 23, 2009",58.1,56.97,58.8,56.97,5.22K,2.38%
"Mar 20, 2009",56.75,55.66,56.75,55.15,10.82K,-1.48%
"Mar 19, 2009",57.6,57.24,57.73,57.21,3.78K,0.44%
"Mar 18, 2009",57.35,55.5,57.35,55.14,2.56K,2.41%
"Mar 17, 2009",56,56,57,55.75,9.42K,0.11%
"Mar 16, 2009",55.94,55.34,56.25,55.2,7.75K,1.07%
"Mar 13, 2009",55.35,55.48,56,54.6,4.21K,1.65%
"Mar 12, 2009",54.45,54.42,55.75,54.21,4.47K,1.30%
"Mar 11, 2009",53.75,53.75,55.03,53.55,12.64K,1.51%
"Mar 10, 2009",52.95,53.25,54.48,52.9,15.93K,1.55%
"Mar 09, 2009",52.14,51.03,52.91,50.87,7.10K,2.22%
"Mar 06, 2009",51.01,52.18,52.26,51,24.80K,0.02%
"Mar 05, 2009",51,51.91,53.47,50.8,20.96K,-0.99%
"Mar 04, 2009",51.51,50.36,52.09,50.36,7.78K,6.67%
"Mar 03, 2009",48.29,48.38,48.68,47.49,15.37K,3.65%
"Mar 02, 2009",46.59,47.4,47.4,46.59,5.66K,-4.92%
"Feb 27, 2009",49,49.3,49.5,48,26.41K,-3.16%
"Feb 26, 2009",50.6,51.46,52.11,50.6,5.38K,-0.51%
"Feb 25, 2009",50.86,50.9,54.05,50.75,24.72K,-5.55%
"Feb 24, 2009",53.85,52.4,54.09,51.29,24.72K,-0.28%
"Feb 23, 2009",54,56.23,56.72,54,3.87K,-5.74%
"Feb 20, 2009",57.29,57.53,58.44,56.35,7.53K,-2.90%
"Feb 19, 2009",59,59.95,60.33,59,1.43K,-0.08%
"Feb 18, 2009",59.05,60.14,60.14,58.95,1.19K,-0.49%
"Feb 17, 2009",59.34,60.45,60.65,59.34,2.19K,-6.67%
"Feb 13, 2009",63.58,64.15,64.17,63.35,1.18K,-1.58%
"Feb 12, 2009",64.6,65.24,65.24,63.9,3.86K,-6.85%
"Feb 11, 2009",69.35,68.76,70.3,68.15,1.26K,-0.64%
"Feb 10, 2009",69.8,70.95,72.3,69.4,1.23K,-1.55%
"Feb 09, 2009",70.9,69.75,72.05,69.72,1.59K,2.83%
"Feb 06, 2009",68.95,66.85,68.95,66.85,3.71K,2.07%
"Feb 05, 2009",67.55,65.52,67.55,65.52,1.37K,-0.44%
"Feb 04, 2009",67.85,66,68.35,66,0.91K,-0.37%
"Feb 03, 2009",68.1,66.05,68.1,66.05,1.59K,3.26%
"Feb 02, 2009",65.95,64.4,66.53,64.4,3.78K,2.30%
"Jan 30, 2009",64.47,66.47,66.47,63.75,2.40K,-1.04%
"Jan 29, 2009",65.15,66.56,66.98,65.15,0.70K,-7.85%
"Jan 28, 2009",70.7,69.84,71.3,69.6,1.60K,0.64%
"Jan 27, 2009",70.25,67.61,70.25,67.61,1.85K,7.17%
"Jan 26, 2009",65.55,63.2,69,63.2,10.29K,7.11%
"Jan 23, 2009",61.2,60.8,61.2,60.8,1.43K,-0.84%
"Jan 22, 2009",61.72,61.72,61.72,61.72,0.10K,-1.25%
"Jan 21, 2009",62.5,60.75,62.5,60.25,0.81K,2.48%
"Jan 20, 2009",60.99,62.5,62.5,60.5,2.11K,-4.93%
"Jan 16, 2009",64.15,64.05,64.15,64.05,0.75K,1.02%
"Jan 15, 2009",63.5,62.5,65,62.3,2.38K,-0.24%
"Jan 14, 2009",63.65,63.95,63.95,62.85,2.78K,-1.70%
"Jan 13, 2009",64.75,66.85,66.85,64.74,28.98K,-7.83%
"Jan 12, 2009",70.25,69.9,70.25,69.5,4.72K,-7.08%
"Jan 09, 2009",75.6,79.21,79.21,74.4,3.59K,-8.03%
"Jan 08, 2009",82.2,82.96,83.2,81.7,2.30K,3.07%
"Jan 07, 2009",79.75,80.2,81.3,79.75,7.19K,1.46%
"Jan 06, 2009",78.6,79.8,80.6,75.4,8.43K,11.25%
"Jan 05, 2009",70.65,69.25,73.5,68.75,31.44K,-1.53%
"Jan 02, 2009",71.75,70.1,73.6,70.1,4.99K,0.28%
"Dec 31, 2008",71.55,68.95,71.55,68.95,4.13K,0.49%
"Dec 30, 2008",71.2,71.3,71.3,69.1,5.22K,1.35%
"Dec 29, 2008",70.25,71.3,72.3,70.25,5.47K,-2.16%
"Dec 26, 2008",71.8,71.75,71.8,71.75,0.56K,-2.51%
"Dec 24, 2008",73.65,73.65,73.65,73.65,0.40K,2.65%
"Dec 23, 2008",71.75,73.4,73.9,71.75,0.75K,-2.65%
"Dec 22, 2008",73.7,74.95,74.95,72.7,1.10K,-4.53%
"Dec 19, 2008",77.2,84.15,84.15,77.2,1.47K,-8.69%
"Dec 18, 2008",84.55,88.9,89.95,84.5,1.91K,-4.18%
"Dec 17, 2008",88.24,88.6,88.6,87.65,2.09K,-1.85%
"Dec 16, 2008",89.9,85,89.9,85,1.69K,8.31%
"Dec 15, 2008",83,82.5,84.75,82.25,14.34K,1.65%
"Dec 12, 2008",81.65,81,82,80,3.84K,1.43%
"Dec 11, 2008",80.5,80.89,80.89,80,5.24K,-0.37%
"Dec 10, 2008",80.8,80,80.8,80,1.90K,4.19%
"Dec 09, 2008",77.55,77.9,78.25,77.55,114.56K,3.39%
"Dec 08, 2008",75.01,77.3,78.85,75.01,2.94K,3.82%
"Dec 05, 2008",72.25,72,75,71.02,4.38K,-4.93%
"Dec 04, 2008",76,75.3,76,73.01,1.88K,5.70%
"Dec 03, 2008",71.9,72.4,74.25,71.21,2.59K,-4.13%
"Dec 02, 2008",75,72.5,75.5,72.5,5.96K,12.61%
"Dec 01, 2008",66.6,74.2,74.2,66.6,19.67K,-3.27%
"Nov 28, 2008",68.85,72.9,72.9,68.85,0.77K,-7.65%
"Nov 26, 2008",74.55,68.1,82.6,67.14,12.40K,9.71%
"Nov 25, 2008",67.95,74,74,65.26,38.38K,-17.29%
"Nov 24, 2008",82.15,81.98,84.93,81,6.08K,-8.21%
"Nov 21, 2008",89.5,80.85,94.94,80.01,20.82K,6.94%
"Nov 20, 2008",83.69,90,92,83.69,21.18K,-10.25%
"Nov 19, 2008",93.25,98.5,99,93.25,3.97K,-1.84%
"Nov 18, 2008",95,95.76,97,93,5.74K,2.70%
"Nov 17, 2008",92.5,93.35,96.9,90.75,4.76K,-7.50%
"Nov 14, 2008",100,102.05,102.3,100,3.84K,-3.85%
"Nov 13, 2008",104,100.45,104.5,98.5,15.48K,8.05%
"Nov 12, 2008",96.25,94.75,98.2,94.66,24.12K,-4.83%
"Nov 11, 2008",101.14,98.25,101.44,97.5,6.74K,3.73%
"Nov 10, 2008",97.5,98.5,100.7,97.5,20.84K,-4.65%
"Nov 07, 2008",102.25,99.5,103.25,99.5,15.21K,1.24%
"Nov 06, 2008",101,106.25,106.25,100,8.99K,-1.93%
"Nov 05, 2008",102.99,108.1,109.95,100.35,14.55K,-1.59%
"Nov 04, 2008",104.65,95.05,104.95,90.9,24.69K,7.33%
"Nov 03, 2008",97.5,101,105.75,95.25,50.91K,-20.08%
"Oct 31, 2008",122,136.4,138.55,120,181.24K,-4.80%
"Oct 30, 2008",128.15,144,151.25,122.6,84.37K,-2.92%
"Oct 29, 2008",132,136,150.7,128.65,450.26K,-39.86%
"Oct 28, 2008",219.5,191.95,232.3,155,552.69K,86.02%
"Oct 27, 2008",118,95.2,159.15,94.95,280.31K,121.60%
"Oct 24, 2008",53.25,53.25,53.5,50.25,17.10K,-7.38%
"Oct 23, 2008",57.49,57.49,61,56.11,76.22K,-6.05%
"Oct 22, 2008",61.19,61.19,62.6,60.67,34.87K,0.89%
"Oct 21, 2008",60.65,60.65,64,60.65,90.14K,-18.59%
"Oct 20, 2008",74.5,74.5,78,71.5,30.04K,-21.78%
"Oct 17, 2008",95.25,95.25,99.43,93.5,25.85K,-12.01%
"Oct 16, 2008",108.25,108.25,111.4,105.3,13.12K,5.87%
"Oct 15, 2008",102.25,102.25,107.9,101.95,38.65K,7.44%
"Oct 14, 2008",95.17,95.17,97.45,91.75,16.62K,-3.87%
"Oct 13, 2008",99,99,99,90.65,69.47K,10.92%
"Oct 10, 2008",89.25,89.25,93.6,83.75,38.95K,12.26%
"Oct 09, 2008",79.5,79.5,80.75,77,126.60K,1.65%
"Oct 08, 2008",78.21,78.21,81.95,76.35,51.08K,2.91%
"Oct 07, 2008",76,76,96.2,75,304.81K,-4.10%
"Oct 06, 2008",79.25,79.25,80,71,20.80K,5.88%
"Oct 03, 2008",74.85,74.85,78.25,73.45,21.02K,4.03%
"Oct 02, 2008",71.95,71.95,75.35,71.76,37.31K,-6.07%
"Oct 01, 2008",76.6,76.6,77.05,76.05,30.50K,-3.73%
"Sep 30, 2008",79.57,79.57,79.57,77.25,21.69K,6.09%
"Sep 29, 2008",75,75,82.3,75,21.19K,-0.53%
"Sep 26, 2008",75.4,75.4,75.99,73.9,17.43K,0.94%
"Sep 25, 2008",74.7,74.7,74.85,74,21.47K,1.43%
"Sep 24, 2008",73.65,73.65,75.55,73.1,18.17K,-6.26%
"Sep 23, 2008",78.57,78.57,85,78.5,126.58K,-3.54%
"Sep 22, 2008",81.45,81.45,83.5,80.9,71.34K,8.60%
"Sep 19, 2008",75,75,76.95,72.05,34.25K,-14.01%
"Sep 18, 2008",87.22,87.22,88,79.9,110.60K,30.18%
"Sep 17, 2008",67,67,72.05,66.55,14.87K,3.91%
"Sep 16, 2008",64.48,64.48,64.5,60,45.09K,9.29%
"Sep 15, 2008",59,59,59,56.55,37.74K,-2.64%
"Sep 12, 2008",60.6,60.6,60.7,59.25,15.44K,1.51%
